WindowSize,CompressionLevel,performance
10,0,1.662
11,0,1.526
12,0,1.528
13,0,1.514
14,0,1.472
15,0,1.534
16,0,1.59
17,0,1.606
18,0,1.628
19,0,1.614
20,0,1.63
21,0,1.604
22,0,1.596
23,0,1.556
24,0,1.574
10,1,1.666
11,1,1.526
12,1,1.542
13,1,1.514
14,1,1.46
15,1,1.52
16,1,1.598
17,1,1.612
18,1,1.63
19,1,1.604
20,1,1.636
21,1,1.598
22,1,1.586
23,1,1.572
24,1,1.57
10,2,2.146
11,2,1.998
12,2,1.988
13,2,1.942
14,2,1.9
15,2,1.972
16,2,2.026
17,2,2.102
18,2,2.094
19,2,2.1
20,2,2.088
21,2,2.06
22,2,2.05
23,2,2.032
24,2,2.04
10,3,2.616
11,3,2.476
12,3,2.426
13,3,2.37
14,3,2.302
15,3,2.392
16,3,2.508
17,3,2.564
18,3,2.562
19,3,2.552
20,3,2.546
21,3,2.512
22,3,2.5
23,3,2.478
24,3,2.478
10,4,3.02
11,4,3.04
12,4,3.004
13,4,2.972
14,4,2.894
15,4,2.834
16,4,2.77
17,4,2.848
18,4,2.824
19,4,2.8
20,4,2.808
21,4,2.768
22,4,2.748
23,4,2.726
24,4,2.708
10,5,3.306
11,5,3.49
12,5,3.746
13,5,4.128
14,5,4.678
15,5,5.072
16,5,5.392
17,5,5.886
18,5,6.714
19,5,7.372
20,5,7.45
21,5,7.272
22,5,7.198
23,5,7.178
24,5,7.154
10,6,3.386
11,6,3.57
12,6,3.846
13,6,4.3
14,6,4.874
15,6,5.306
16,6,5.77
17,6,6.34
18,6,7.51
19,6,9.336
20,6,10.658
21,6,10.46
22,6,10.266
23,6,10.22
24,6,10.176
10,7,4.874
11,7,5.078
12,7,5.266
13,7,5.554
14,7,5.896
15,7,6.39
16,7,6.998
17,7,7.636
18,7,8.628
19,7,10.05
20,7,12.338
21,7,15.806
22,7,19.626
23,7,20.474
24,7,20.228
10,8,5.046
11,8,5.042
12,8,5.318
13,8,5.62
14,8,6.086
15,8,6.738
16,8,7.548
17,8,8.454
18,8,9.684
19,8,11.508
20,8,14.64
21,8,18.874
22,8,25.432
23,8,37.284
24,8,38.644
10,9,6.246
11,9,6.286
12,9,6.47
13,9,6.862
14,9,7.404
15,9,8.084
16,9,9.094
17,9,10.152
18,9,11.954
19,9,14.048
20,9,17.4
21,9,23.614
22,9,34.292
23,9,63.68
24,9,108.602
10,10,363.364
11,10,343.594
12,10,328.816
13,10,313.652
14,10,301.488
15,10,291.618
16,10,285.0
17,10,307.144
18,10,279.698
19,10,258.558
20,10,246.512
21,10,244.734
22,10,256.21
23,10,318.954
24,10,392.744
10,11,363.346
11,11,343.996
12,11,328.552
13,11,315.078
14,11,301.078
15,11,292.192
16,11,284.296
17,11,307.42
18,11,279.692
19,11,258.502
20,11,246.08
21,11,244.72
22,11,259.594
23,11,315.238
24,11,394.158
