WindowSize,CompressionLevel,Performance
15,2,1.972
12,4,3.004
17,1,1.612
11,4,3.04
18,11,279.692
14,4,2.894
21,4,2.768
22,1,1.586
10,1,1.666
21,1,1.598
19,1,1.604
16,1,1.598
15,1,1.52
20,1,1.636
13,1,1.514
23,1,1.572
24,1,1.57
15,5,5.072
21,7,15.806
21,6,10.46
13,10,313.652
18,4,2.824
15,8,6.738
15,0,1.534
15,9,8.084
15,3,2.392
15,4,2.834
18,0,1.628
20,0,1.63
13,0,1.514
22,0,1.596
21,0,1.604
14,0,1.472
19,0,1.614
23,0,1.556
11,0,1.526
24,0,1.574
12,0,1.528
17,0,1.606
16,0,1.59
10,0,1.662
18,1,1.63
12,1,1.542
14,1,1.46
11,1,1.526
16,2,2.026
21,9,23.614
15,6,5.306
18,2,2.094
21,2,2.06
