fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
0,0,0,0,0,64,2,256,46272.2
1,0,0,0,0,64,2,256,136455.8
0,0,0,0,0,64,2,256,46272.2
0,1,0,0,0,64,2,256,46500.4
0,0,0,0,0,64,2,256,46272.2
0,0,1,0,0,64,2,256,46097.4
0,0,0,0,0,64,2,256,46272.2
0,0,0,1,0,64,2,256,46461.6
0,0,0,0,0,64,2,256,46272.2
0,0,0,0,1,64,2,256,46337.0
0,0,0,0,0,64,2,256,46272.2
0,0,0,0,0,128,2,256,46236.8
0,0,0,0,0,256,2,256,46207.6
0,0,0,0,0,64,2,256,46272.2
0,0,0,0,0,64,8,256,46297.6
0,0,0,0,0,64,32,256,46471.2
0,0,0,0,0,64,2,256,46272.2
0,0,0,0,0,64,2,1024,47571.0
0,0,0,0,0,64,2,4096,46558.6
0,0,1,0,0,128,2,256,46293.4
0,0,0,0,1,64,2,256,46337.0
1,1,0,1,1,64,8,256,132419.2
0,1,0,1,1,64,8,256,46752.4
0,1,0,1,0,64,8,256,46431.0
1,1,1,0,1,64,8,1024,127709.6
0,0,1,1,1,64,2,256,46643.2
1,1,1,1,0,64,2,256,128226.2
1,1,1,1,0,64,8,1024,126794.8
1,0,0,0,0,64,2,256,136455.8
0,0,0,1,1,64,8,1024,47331.0
1,0,0,1,1,64,8,256,136979.0
1,1,0,0,0,64,2,256,132203.8
0,1,1,1,0,128,8,1024,46551.0
1,1,0,1,0,64,8,256,133943.0
0,1,1,1,1,64,2,1024,46856.0
0,0,0,0,1,128,2,1024,46113.2
1,0,1,1,0,64,2,256,140491.6
1,1,1,1,1,128,8,256,130828.8
1,0,0,0,1,64,8,256,133634.4
0,1,1,1,1,128,2,256,46463.2
0,1,1,1,1,64,2,256,46733.2
1,1,0,1,1,128,2,256,130923.0
1,0,0,1,0,64,2,1024,130483.0
1,1,0,0,1,64,8,1024,134931.8
1,1,1,1,0,128,8,1024,129666.0
1,1,1,0,1,128,8,256,128988.8
0,0,1,0,1,128,8,256,46271.0
1,1,0,0,0,128,8,256,125404.4
1,0,1,1,0,64,8,256,141618.4
1,1,1,0,1,128,2,256,130635.2
